	 time{0000000a}	 RegDat 0{xxxxxxxx}	 RegDat 1{xxxxxxxx}	 RegDat 2{xxxxxxxx}	 RegDat 3{xxxxxxxx}	 RegDat 4{xxxxxxxx}	 RegDat 5{xxxxxxxx}	 RegDat 6{xxxxxxxx}	 RegDat 7{xxxxxxxx}	 RegDat 8{xxxxxxxx}	 RegDat 9{xxxxxxxx}	 RegDat10{xxxxxxxx}	 RegDat11{xxxxxxxx}	 RegDat12{xxxxxxxx}	 RegDat13{xxxxxxxx}	 RegDat14{xxxxxxxx}	 RegDat15{xxxxxxxx}
	 time{000002b2}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000002c6}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000002da}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000002ee}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000302}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000316}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000032a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000033e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000352}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000366}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000037a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000038e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000003a2}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000003b6}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000003ca}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000003de}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000003f2}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000406}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000041a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
